n	radius_squared	x	y
61864	551387988451914795422883129378840625/2116	8/23	3/46
61865	1660720302911653004525758581113678125/2116	15/46	6/23
61866	1085099278595496821860780361315253125/4418	35/94	29/94
61867	1749886493672010212822443605603003125/2116	6/23	5/46
61868	631882585306208926141552199361153125/2116	9/46	3/23
61869	10834946890783295575135257828855367625/8978	47/134	11/134
61870	657254482234682436144076690219578025/2116	8/23	1/46
61871	4972696213203097387414827475984301125/8978	55/134	49/134
61872	5430080035470869502281555611680625/484	3/22	0
61873	12152137723624150578876016153026627625/8978	35/134	21/134
61874	5221133257713362415863610911162569625/8978	23/134	23/134
61875	21347579657394027719797573428966731125/8978	63/134	39/134
61876	727051418401197385115129082101303125/2116	15/46	5/23
61877	12215243900679973237469602107886971625/8978	37/134	5/134
61878	514338387052534778964031923854013125/1458	7/18	1/54
61879	87375759344705878977166385763132390625/20402	13/202	1/202
61880	304381970519386657857949107224478125/882	5/14	11/42
61881	5726986998945106871379808508091815125/8978	59/134	45/134
61882	4972696213203097387414827475984301125/8978	57/134	57/134
61883	46503308870144430100067072787463765625/20402	93/202	5/202
61884	211682707071821930376474573533875925/324	1/9	1/18
61885	16006104705269234923879613748212457125/8978	11/134	1/134
61886	2281322910934123317120484427474790625/1444	2/19	1/38
61887	28772041988240256383571361271506490125/8978	65/134	21/134
61888	51769243672638600280375016640068125/882	17/42	17/42
61889	53612094939465871644026370538413640625/20402	29/202	27/202
61890	24194435514387711108454967650336515625/20402	1/2	31/202
61891	7437041239215251844894741977357052125/8978	55/134	9/134
61892	1207305566335933272530627191379228125/2116	3/46	1/23
61893	16246876106432949210325457980810203125/4802	13/98	11/98
61894	622153327812145635532134918786120625/1458	19/54	5/54
61895	60114033417503775495208655066721453125/20402	83/202	63/202
61896	1964350515690255843998647663604430625/4096	1/2	17/64
61897	24194435514387711108454967650336515625/20402	87/202	19/202
61898	19281859775425739309783908228948390625/20402	73/202	47/202
61899	5591864613290642587404222336807249125/8978	55/134	47/134
61900	3336340757460159185386281591440950625/4096	9/64	1/16
61901	10910177249407146107485179855107553625/8978	17/134	11/134
61902	7414120127409680317075980974229242125/8978	45/134	33/134
61903	22690118280332516635390410076222328125/20402	63/202	23/202
61904	96298715056450012306128031690608125/882	5/14	5/42
61905	22229405218802922388986543881781265625/20402	55/202	53/202
61906	29390555893316615507586235870543015625/20402	29/202	11/202
61907	19681483812222127689261294927993953125/20402	7/202	3/202
61908	2925427655093459431736663854105922425/4418	37/94	29/94
61909	18082987665036574171351748131811703125/20402	67/202	21/202
61910	18082987665036574171351748131811703125/20402	9/202	1/202
61911	22690118280332516635390410076222328125/20402	17/202	13/202
61912	14373141876825331285729216360384354625/8978	55/134	55/134
61913	18082987665036574171351748131811703125/20402	23/202	19/202
61914	5178418204221604795230517975052208625/4096	7/16	15/64
61915	19281859775425739309783908228948390625/20402	67/202	25/202
61916	6133636963367244637394942840027328625/8978	11/134	11/134
61917	23908379664511443703062378402462453125/20402	89/202	11/202
61918	18082987665036574171351748131811703125/20402	63/202	31/202
61919	27227056544469800516563905130927390625/20402	97/202	55/202
61920	206596406832504097692916938053125/144	1/2	1/12
61921	9645028225608692248073054634627268625/8978	47/134	9/134
61922	19152251979707991727250701731960640625/20402	75/202	37/202
61923	25143104040368464379756940895273390625/20402	83/202	57/202
61924	2264718865332957311233541810878883125/4096	7/64	1/32
61925	19981364936877788622672858282601515625/20402	47/202	37/202
61926	43760056756441713047798418752955625/484	3/22	1/11
61927	14173152494217855431600018806014578125/20402	95/202	43/202
61928	751159361763792304970341551980378125/1024	7/16	3/32
61929	13546714814915408782689520737240453125/20402	85/202	73/202
61930	13546714814915408782689520737240453125/20402	89/202	47/202
61931	13546714814915408782689520737240453125/20402	33/202	31/202
61932	1837769298430523519105252288239128125/4418	17/94	17/94
61933	1123290976449796760206532941446978125/1444	4/19	5/38
61934	13546714814915408782689520737240453125/20402	91/202	43/202
61935	8363054156160341568772686503720576125/8978	29/134	21/134
61936	172686268111775736286188598522990625/1024	15/32	0
61937	15112809013171525404965765909175765625/20402	87/202	49/202
61938	15617550200634961717622950658856828125/20402	1/2	69/202
61939	18963206213979557355275515185398890625/20402	27/202	17/202
61940	17784146760260621146657348438120203125/20402	79/202	39/202
61941	17784146760260621146657348438120203125/20402	93/202	27/202
61942	2970361711050971278482479853710150125/4096	7/32	13/64
61943	18082987665036574171351748131811703125/20402	73/202	45/202
61944	47795929209181866228125925165326125/484	3/11	3/22
61945	23422930331221871242086492546574890625/20402	45/202	13/202
61946	12717780580669868539494558766012947125/8978	53/134	41/134
61947	19681483812222127689261294927993953125/20402	39/202	31/202
61948	3412940852523401583624709432995468125/4096	15/32	27/64
61949	18082987665036574171351748131811703125/20402	55/202	17/202
61950	1664851806490473219935333482761860525/4418	27/94	23/94
61951	18082987665036574171351748131811703125/20402	69/202	13/202
61952	4152052566789999043714644067225/98	1/14	1/14
61953	22690118280332516635390410076222328125/20402	75/202	61/202
61954	2829444998182938702548633532760485125/4096	13/32	15/64
61955	29390555893316615507586235870543015625/20402	99/202	7/202
61956	73909486716050164063060772187949825/324	1/3	5/18
61957	22229405218802922388986543881781265625/20402	31/202	5/202
61958	18082987665036574171351748131811703125/20402	1/2	53/202
61959	22229405218802922388986543881781265625/20402	13/202	3/202
61960	3916337043365832256442533628757405625/4096	13/64	3/16
61961	19281859775425739309783908228948390625/20402	59/202	57/202
61962	3573599100555983917950365501214949025/4418	45/94	25/94
61963	9173315458487295077165887964288659625/8978	65/134	33/134
61964	3678408706795582988817252521881440625/4096	25/64	0
61965	180402486100419936702325992658521125/242	3/22	1/22
61966	19281859775425739309783908228948390625/20402	39/202	19/202
61967	73930227875244489143210908907049015625/20402	45/202	39/202
61968	32768388147779707414042664851337125/484	3/11	1/22
61969	47467108017712190309394887767514828125/20402	99/202	15/202
61970	6463166184368020915504988384481428125/4418	5/94	1/94
61971	24194435514387711108454967650336515625/20402	73/202	51/202
61972	5134071862512774577811294818917168125/3844	4/31	3/62
61973	1394498065535781973802330746486628125/1444	7/38	1/19
61974	15754327345413059758278558556748373625/8978	1/2	53/134
61975	14646895953054299874590837688836589125/8978	45/134	43/134
61976	194809775770223873319294611145153125/1024	3/16	1/32
61977	53612094939465871644026370538413640625/20402	95/202	25/202
61978	1864768146534625633001845681956085225/1922	23/62	19/62
61979	17421008988607951823228087891700851125/8978	15/134	11/134
61980	768533742026478818830911401846163625/1296	4/9	5/12
61981	46984144384107974677344019766585857625/8978	65/134	25/134
61982	2970361711050971278482479853710150125/4096	5/32	3/64
61983	13666560007691455206277871665259681125/8978	33/134	23/134
61984	76657050795644344073716648456263125/882	1/2	19/42
61985	80465496637697040669682591462368265625/20402	77/202	15/202
61986	16588016036331948092906191189309545125/8978	1/2	39/134
61987	14366706712853479050005604370265353625/8978	45/134	27/134
61988	1622981141089705956284241569552968625/4096	1/2	7/64
61989	5638958291266339310945701358022951025/1458	23/54	17/54
61990	891486544627094241846039857341873525/1922	27/62	7/62
61991	9512419689258669744905579025033953125/4802	31/98	23/98
61992	2221612946034370280359990392135025/36	1/6	0
61993	13906959055555435861024177330358992625/8978	49/134	37/134
61994	891486544627094241846039857341873525/1922	19/62	13/62
61995	8320650099320034242307978647934127625/8978	55/134	11/134
61996	4308207636830762902501643182464337625/4096	29/64	5/16
61997	39185562983039144356309067572969016125/8978	31/134	13/134
61998	808483314260044801932090588429990625/1444	9/38	0
61999	60601864236972378716493110550192345625/6498	47/114	41/114
62000	2527839729355043637849886917537010625/4096	1/2	31/64
62001	17468391225589352507554783052150079125/8978	27/134	7/134
62002	24074383715263619280201425471608548125/13778	11/166	11/166
62003	22119103819607690810743441676960138125/13778	25/166	7/166
62004	385366921734990493631114399864046125/1024	13/32	1/16
62005	4727540026815611497759580208714203125/4802	27/98	19/98
62006	1864768146534625633001845681956085225/1922	15/62	13/62
62007	24074383715263619280201425471608548125/13778	77/166	17/166
62008	18080761213538236886790282200668660625/13778	1/2	27/166
62009	1279123250639363940813219592283553125/1444	9/19	15/38
62010	6019582582572322325420246783182516625/4096	1/16	1/64
62011	11779056906787866716546007352727930125/4096	29/64	7/32
62012	7643599879843087229808703036756815625/4096	3/64	0
62013	19108857610341594214405895715118234625/8978	51/134	23/134
62014	3296157575202804880288614321669431125/4096	25/64	5/32
62015	27904448026000347610657379720334991625/8978	59/134	21/134
62016	251564168495521676032496519189825/256	1/2	1/16
62017	29192842547598691262777458548932640625/5618	31/106	3/106
62018	3232935121972604098679826139120992125/4096	27/64	3/32
62019	22868933162798356615507383416964640625/4802	39/98	15/98
62020	1766449087263381620928152426530026625/4096	1/64	0
62021	31922006871990993324409082024322858125/13778	27/166	3/166
62022	6475647442480946925059903549791515625/4802	29/98	17/98
62023	24945086589972747912826831578069640625/5618	47/106	23/106
62024	515601586002405128512367160069577925/882	1/2	5/42
62025	25225562848149767218206456423979604125/8978	41/134	37/134
62026	4205086765255306690528079670235196125/4096	13/32	21/64
62027	17707134004281173388897802726401765625/5618	51/106	21/106
62028	661051610690870245099405904927703125/3698	31/86	31/86
62029	4453986958288022938365217731553890625/3698	31/86	1/86
62030	4332565807838677852054062971335187125/4096	5/32	9/64
62031	11527463076612575964584475600409203125/5618	19/106	15/106
62032	868913090571784615207128112949928125/1296	7/36	1/18
62033	6003153612480917580254624193613953125/4802	37/98	29/98
62034	1617799163496825994784662008922859825/1458	7/18	5/54
62035	17707134004281173388897802726401765625/5618	29/106	9/106
62036	1766449087263381620928152426530026625/4096	7/16	25/64
62037	15686912233744546019532198944848654625/8978	49/134	29/134
62038	733710290975878808689816314355540625/1444	15/38	7/19
62039	24149493462170873968253712712990877125/8978	45/134	9/134
62040	257288484481819109571600947929754125/784	1/2	3/28
62041	11779056906787866716546007352727930125/4096	13/64	5/32
62042	3282177470846507345578307278661453125/4802	1/2	11/98
62043	9356684352931867299715975989311139625/8978	53/134	37/134
62044	146296835500596138329275719653753125/1024	3/16	1/32
62045	2708833417623901159206944142871747625/1444	11/38	3/19
62046	134100061628722747167230738559325325/324	7/18	2/9
62047	4727540026815611497759580208714203125/4802	41/98	37/98
62048	84237392135118050637633492854590625/882	1/2	1/42
62049	11341327288764973343889444338585140625/4802	47/98	33/98
62050	1592747545984868921937130247096263625/1444	17/38	0
62051	55348132715285807003063231988092244625/8978	37/134	5/134
62052	1622981141089705956284241569552968625/4096	25/64	3/8
62053	1592747545984868921937130247096263625/1444	15/38	4/19
62054	2494344888327837271174620818120100925/4096	13/32	5/64
62055	1851467959545862858495445820228651625/1444	5/19	1/38
62056	387477437765285236140462553564556725/1922	7/62	7/62
62057	28263297182343496489481048353088618125/6498	25/114	5/114
62058	2970361711050971278482479853710150125/4096	29/64	13/32
62059	3282177470846507345578307278661453125/4802	27/98	15/98
62060	2367278224901545630503766365781081625/4096	1/2	5/64
62061	24267691509728247986914240340467308125/13778	77/166	23/166
62062	5434205732091110748583931719509062125/4096	7/32	13/64
62063	930518531506844017318066526306215625/1444	8/19	9/38
62064	159496707865508344851008413315625/144	1/3	1/12
62065	17297280749149161877400508272373528125/4096	3/32	5/64
62066	2440410728993795245297966465437128125/3844	29/62	5/31
62067	22989028357293345080788634622964488125/6498	17/38	23/114
62068	2235863552749823046182432132304546425/4096	1/2	11/64
62069	16166157721805207416217452850364018125/13778	75/166	1/166
62070	931058994472450686203791468287125825/1458	23/54	1/18
62071	7245031297033138638928406941845953125/4802	47/98	33/98
62072	76889506239549780390200762846003125/1024	9/32	3/16
62073	30528050832353877710930773211218005625/13778	51/166	27/166
62074	5189036365373964410918180938377485125/4096	7/32	1/64
62075	5981252299120304049651623578980953125/4802	45/98	43/98
62076	1334643867067423916296525251302115625/4096	13/64	0
62077	12930158612649006200939044541131000625/13778	15/166	13/166
62078	2190465308023938314280250769212068325/4096	9/32	17/64
62079	3672139150551042871785630915730140625/4802	25/98	15/98
62080	257634335688074165890261924705025/256	1/2	1/16
62081	24733622906353493189348130844238138125/13778	69/166	53/166
62082	5327366986967552708650020912736065625/3844	15/31	5/62
62083	3453934906773833420093953995335710325/1444	15/38	6/19
62084	1175154593806691309531613442681965625/4096	1/2	21/64
62085	845363312173558386547184584800303125/1444	9/38	1/19
62086	1334643867067423916296525251302115625/4096	5/16	5/64
62087	17754956408075938623013933028648605625/13778	59/166	33/166
62088	17876555622392862518747143755308125/484	5/22	2/11
62089	6795740542985050506241512257153453125/4802	45/98	23/98
62090	1073729077476809582399735311741140625/3698	27/86	27/86
62091	32932613925034209163717676980449675625/13778	21/166	15/166
62092	117791056729026556820541991441653125/1024	15/32	5/16
62093	13517154012657460412309197181743068125/6498	55/114	15/38
62094	1921689400029302228240148821185203125/4802	45/98	45/98
62095	8167792473307714230611869256554703125/4802	39/98	33/98
62096	58198134557007292339544223811615625/1024	3/32	0
62097	1240102860734921093278515236411686325/1458	7/18	7/54
62098	765557142023446205794453570543853125/4096	17/64	3/32
62099	14467523043445348343160624137330085625/7442	37/122	33/122
62100	20536003455062483518146473408996525/324	4/9	5/18
62101	12447424955127971205458166571686033125/13778	65/166	23/166
62102	988102428572710673562298935130367525/1922	29/62	19/62
62103	1185225747958726350720713898689415625/3362	37/82	7/82
62104	1383193084664353261775381715067253125/3844	1/2	6/31
62105	1921689400029302228240148821185203125/4802	9/98	1/14
62106	1594636613530241658479898665141228125/3844	29/62	8/31
62107	15791237215757754266364856197277270625/6498	29/114	1/38
62108	1416231951141972713445484681711826125/4096	7/32	3/64
62109	13094718886445128185930972957645303125/2916	11/54	2/27
62110	3668906245874061233273328932930453125/4802	23/98	23/98
62111	8130267607644243279913803572819103125/4096	15/32	23/64
62112	78244896348242200633009596865625/256	5/16	0
62113	3028262427230313372897813385544078125/4802	47/98	33/98
62114	481218930704437029807879865300015625/3698	37/86	33/86
62115	610609022798412924101603948893063825/1458	23/54	17/54
62116	1666879755826521822285653949867828125/4802	1/2	17/98
62117	2463405186917923313704438868033265625/4802	11/98	5/98
62118	814386870272896672700561155948190825/1444	15/38	6/19
62119	2057751571940314127427603522666315625/1444	6/19	9/38
62120	13570488931521666851173906718846125/484	7/22	1/11
62121	11894937477526268710664899106773233125/6962	29/118	17/118
62122	45143094002742966392305193603515625/242	7/22	1/22
62123	133949180565516015032905574462890625/242	9/22	1/22
62124	22117086323491520447236772705078125/242	9/22	5/22
62125	1666879755826521822285653949867828125/4802	41/98	15/98
62126	1096608879114666186678541601049303125/4096	25/64	5/32
62127	540053189370154261292112421651669025/324	5/18	1/9
62128	8118589448115582352012337207344625/484	1/11	1/22
62129	2626724867818559113508048074753703125/4802	23/98	1/14
62130	202333365616238418724542856733405525/1922	29/62	5/62
62131	4098470313336830415981202353147203125/4802	37/98	1/98
62132	985496210450071635083467856003965625/4096	13/64	3/16
62133	394378700715404875815579792243891725/1458	7/18	1/54
62134	148177223146464566872620605117029325/1922	21/62	19/62
62135	9581021678896747656998794544920653125/4096	11/32	15/64
62136	22535349627767251963877475085403825/1058	19/46	11/46
62137	5371949717477761238596957754428578125/4802	27/98	3/14
62138	148177223146464566872620605117029325/1922	23/62	5/62
62139	10244772740759618716121791716238218125/6962	29/118	15/118
62140	28151756989073704852005737851353125/1024	5/16	1/32
62141	8732320733840660266359038887320743125/6498	43/114	37/114
62142	202333365616238418724542856733405525/1922	19/62	3/62
62143	341151918734007344167876375464678125/1444	17/38	3/19
62144	48607223004971274218740998990625/256	1/16	0
62145	2669957838978765042776135972797140625/4802	47/98	1/98
62146	765557142023446205794453570543853125/4096	31/64	1/32
62147	1622693112323149497553660619581578125/4802	31/98	3/98
62148	543760019171439676281106129382328125/3698	3/86	3/86
62149	31922006871990993324409082024322858125/13778	31/166	21/166
62150	1483487101514108514882783627710640625/4802	39/98	39/98
62151	1320014604325049073139506307120765625/4802	45/98	1/98
62152	46819305438247267677809932773315625/1922	29/62	29/62
62153	455891629530198746739723868592978125/1444	5/19	3/38
62154	41755585259137411674030730565113325/324	2/9	1/18
62155	2779464439919850129473101853342703125/4802	3/14	17/98
62156	668033939217911657285605981939540625/4096	1/2	23/64
62157	4458384003988323675600007243601421325/4418	27/94	17/94
62158	928153349178868408795045479331928125/4096	3/32	5/64
62159	2040321006301393239646757150579640625/4802	19/98	5/98
62160	82003916216160229291217152365625/196	3/14	1/7
62161	491383956341643605819785238054628125/1444	2/19	1/38
62162	368874103203192788701878433136453125/3698	37/86	33/86
62163	1539015118814474720758721361670241525/4418	43/94	19/94
62164	579454853354763150242210713616065625/4096	1/2	27/64
62165	7202571116233537299989572220928788125/6498	43/114	23/114
62166	146672675542496428651714171009403125/1024	5/16	9/32
62167	1654988500533080597528192139584703125/4802	33/98	31/98
62168	15899178817663387714345209460090625/1024	1/32	0
62169	206384708664538302887945901640585825/1458	7/54	1/54
62170	56135574923081124274858029777465625/882	19/42	17/42
62171	968982904457192266946558092088453125/4802	33/98	15/98
62172	26552661031133648437944766473828125/1058	13/46	5/46
62173	407082769400281670749180585725536425/1444	4/19	7/38
62174	908669007185977886263738537588436725/4096	7/32	7/64
62175	1112005143652077110374798671727053125/4418	41/94	9/94
62176	31083588960260600251469565878125/256	3/8	3/16
62177	1362279721377221107121660080706828125/4802	27/98	23/98
62178	141454687961088050293985393259277925/1458	1/2	19/54
62179	968982904457192266946558092088453125/4802	23/98	1/98
62180	20836809364862527523700980745428125/1922	23/62	1/62
62181	845545591787486245679480628128140625/4802	43/98	13/98
62182	22723793172359515573414891079865625/882	11/42	1/42
62183	231250629477414374234600764576728125/1444	17/38	6/19
62184	12882508694458575108014299299040625/1922	9/62	9/62
62185	1448310766131040797054951966991765625/4802	15/98	1/14
62186	22723793172359515573414891079865625/882	17/42	13/42
62187	118176354190399897125542297042683025/1458	17/54	5/18
62188	16714682169920732517211604105903125/1024	5/16	7/32
62189	845545591787486245679480628128140625/4802	3/14	3/98
62190	30546032169436093103821138467096325/324	2/9	1/6
62191	968982904457192266946558092088453125/4802	29/98	9/98
62192	40269413523414131632237376040625/196	1/7	1/14
62193	556209483154402523389885128419740625/4418	33/94	25/94
62194	41004394546418085397384754956928125/1024	11/32	1/16
62195	1277685422691342015708293413461765625/4802	15/98	3/98
62196	6392645841001744877122029549090625/1922	23/62	19/62
62197	268870466677503105071203243463853125/1444	11/38	3/19
62198	31492960776075327208011452820903125/784	3/28	1/14
62199	479047473930670381416721873610065625/4418	11/94	7/94
62200	3789631318283514832493385880315625/1922	1/2	29/62
62201	166844877270313493248907981922865625/1444	17/38	4/19
62202	31492960776075327208011452820903125/784	11/28	1/14
62203	126533363298962582128366456089153125/1444	17/38	7/19
62204	4603511869861182447525522445215625/1922	17/62	13/62
62205	81318093053872186205457617111415625/1458	7/54	5/54
62206	41004394546418085397384754956928125/1024	7/16	11/32
62207	159037346531723612399873435634990625/1444	7/19	9/38
62208	117435165005193837938825/2	1/2	1/2
62209	159037346531723612399873435634990625/1444	5/19	5/38
62210	372770319674083300474288420861290625/3844	11/31	5/62
62211	153407705946529856208727473311628125/1444	2/19	1/38
62212	4603511869861182447525522445215625/1922	25/62	9/62
62213	126533363298962582128366456089153125/1444	5/38	1/19
62214	41004394546418085397384754956928125/1024	3/16	5/32
62215	166844877270313493248907981922865625/1444	11/38	1/19
62216	3789631318283514832493385880315625/1922	23/62	23/62
62217	479047473930670381416721873610065625/4418	33/94	31/94
62218	41004394546418085397384754956928125/1024	5/16	5/32
62219	268870466677503105071203243463853125/1444	13/38	4/19
62220	6392645841001744877122029549090625/1922	15/62	13/62
62221	1277685422691342015708293413461765625/4802	41/98	11/98
62222	427189344444022468426739285220603125/4096	7/32	7/64
62223	99141236736912665373777094834465625/1458	7/18	5/54
62224	40269413523414131632237376040625/196	3/7	5/14
62225	968982904457192266946558092088453125/4802	47/98	43/98
62226	30079471887111728707005838481440625/882	1/14	1/42
62227	845545591787486245679480628128140625/4802	41/98	27/98
62228	16714682169920732517211604105903125/1024	7/32	3/16
62229	1499540766584269203059130306219620725/4418	27/94	23/94
62230	22723793172359515573414891079865625/882	17/42	1/42
62231	1448310766131040797054951966991765625/4802	37/98	9/98
62232	12882508694458575108014299299040625/1922	1/2	21/62
62233	231250629477414374234600764576728125/1444	7/38	1/19
62234	22723793172359515573414891079865625/882	13/42	11/42
62235	845545591787486245679480628128140625/4802	5/14	3/98
62236	20836809364862527523700980745428125/1922	5/62	3/62
62237	968982904457192266946558092088453125/4802	37/98	27/98
62238	30079471887111728707005838481440625/882	13/42	1/14
62239	1362279721377221107121660080706828125/4802	29/98	5/98
62240	31083588960260600251469565878125/256	3/16	1/8
62241	170990934904200633879035508951671525/1458	7/54	1/18
62242	908669007185977886263738537588436725/4096	9/32	7/64
62243	407082769400281670749180585725536425/1444	6/19	11/38
62244	26552661031133648437944766473828125/1058	3/46	1/46
62245	968982904457192266946558092088453125/4802	41/98	5/98
62246	652335729750089728420416141343004425/4418	39/94	11/94
62247	1191170067262663105227297527217015625/4802	5/14	25/98
62248	15899178817663387714345209460090625/1024	1/2	1/32
62249	1654988500533080597528192139584703125/4802	39/98	23/98
62250	206384708664538302887945901640585825/1458	5/54	5/54
62251	3404096840516316464266941880925403125/4096	25/64	1/32
62252	168176858135460692078186388911078125/3698	35/86	29/86
62253	3463010089207827979913526914179740625/4418	27/94	11/94
62254	1067732754592957083960220063256703125/4802	45/98	23/98
62255	491383956341643605819785238054628125/1444	9/19	15/38
62256	82003916216160229291217152365625/196	5/14	2/7
62257	2040321006301393239646757150579640625/4802	27/98	3/14
62258	928153349178868408795045479331928125/4096	13/32	5/64
62259	270304502737524690165734464346937025/1458	23/54	11/54
62260	668033939217911657285605981939540625/4096	23/64	0
62261	2779464439919850129473101853342703125/4802	43/98	29/98
62262	41755585259137411674030730565113325/324	4/9	5/18
62263	455891629530198746739723868592978125/1444	8/19	9/38
62264	46819305438247267677809932773315625/1922	1/2	15/62
62265	1320014604325049073139506307120765625/4802	25/98	15/98
62266	158526863582781094952199076091562925/882	17/42	13/42
62267	25534302054779756505532936304236110625/13778	53/166	31/166
62268	264684597865406460662068664541628525/1458	17/54	17/54
62269	1622693112323149497553660619581578125/4802	23/98	1/14
62270	765557142023446205794453570543853125/4096	31/64	15/32
62271	2669957838978765042776135972797140625/4802	15/98	5/98
62272	48607223004971274218740998990625/256	1/2	1/16
62273	341151918734007344167876375464678125/1444	13/38	1/19
62274	1117367141057084386304277152993463025/4418	37/94	9/94
62275	8732320733840660266359038887320743125/6498	5/114	1/114
62276	28151756989073704852005737851353125/1024	3/16	1/32
62277	1282681499730111517082069407618954525/1458	17/54	5/54
62278	148177223146464566872620605117029325/1922	15/62	9/62
62279	12150159866263082159145491998869805625/13778	29/166	13/166
62280	22535349627767251963877475085403825/1058	17/46	3/46
62281	4863637643289993158151383726480468125/13778	77/166	7/166
62282	148177223146464566872620605117029325/1922	7/62	3/62
62283	8320029877100140580187900080324455625/13778	71/166	5/166
62284	985496210450071635083467856003965625/4096	5/16	13/64
62285	7550730263892199322875905122326030625/13778	79/166	39/166
62286	833230701539330953267996427608503125/4096	9/64	1/32
62287	2626724867818559113508048074753703125/4802	31/98	3/98
62288	8118589448115582352012337207344625/484	5/11	9/22
62289	6688913340112023374648598431379728125/4096	27/64	3/32
62290	216492861577692493117223362520890625/3698	29/86	25/86
62291	1666879755826521822285653949867828125/4802	5/14	17/98
62292	105446100197466848185082355708915625/784	13/28	1/7
62293	13273810014389579252293563522503363125/13778	55/166	43/166
62294	451359046374685703308595603482212325/1922	27/62	1/62
62295	638141558009207773690239096241737925/1458	17/54	11/54
62296	13570488931521666851173906718846125/484	9/22	2/11
62297	2057751571940314127427603522666315625/1444	5/19	7/38
62298	523446520972762483903823968097778125/1024	7/16	3/32
62299	2463405186917923313704438868033265625/4802	31/98	19/98
62300	1666879755826521822285653949867828125/4802	13/98	13/98
62301	4001066188951756404702633084082703125/3698	31/86	21/86
62302	765557142023446205794453570543853125/4096	9/32	1/64
62303	3028262427230313372897813385544078125/4802	41/98	3/14
62304	78244896348242200633009596865625/256	1/2	5/16
62305	19461760493748830715091451785800308125/13778	81/166	13/166
62306	3668906245874061233273328932930453125/4802	1/2	15/98
62307	23363788773199991527155834699325210625/13778	75/166	21/166
62308	1416231951141972713445484681711826125/4096	9/32	3/64
62309	12094532546588390065845476346380633125/13778	61/166	49/166
62310	957476841504704605700214577349515625/3698	41/86	5/86
62311	1921689400029302228240148821185203125/4802	39/98	31/98
62312	1383193084664353261775381715067253125/3844	19/62	0
62313	1185225747958726350720713898689415625/3362	9/82	5/82
62314	4095642042845677968830947901808923125/13778	43/166	25/166
62315	5705489782230106303400337828531505625/13778	45/166	3/166
62316	20536003455062483518146473408996525/324	2/9	1/18
62317	3763001064746536610956353148362513125/13778	27/166	19/166
62318	765557142023446205794453570543853125/4096	13/32	17/64
62319	213695571736635826087127311547140625/3698	35/86	15/86
62320	58198134557007292339544223811615625/1024	1/2	3/32
62321	12977276910432640960946449926181233125/13778	51/166	33/166
62322	1921689400029302228240148821185203125/4802	1/2	9/98
62323	17405735310697619486470548276590013125/13778	63/166	29/166
62324	117791056729026556820541991441653125/1024	15/32	3/16
62325	11215662443015988804129447474903685625/13778	51/166	47/166
62326	1594636613530241658479898665141228125/3844	17/62	4/31
62327	1916452106275407064527636130871078125/3698	35/86	13/86
62328	616451646903532361337131558446703125/3698	11/86	11/86
62329	2199736527463108938748966083760875625/13778	57/166	43/166
62330	2691048239180757635728430589778533125/13778	71/166	41/166
62331	2928930956456404719549728321471663125/13778	29/166	9/166
62332	680868818016378858974308129225578125/3698	1/2	27/86
62333	4757396524648842347939154094413510625/13778	51/166	5/166
62334	2199736527463108938748966083760875625/13778	81/166	23/166
62335	2928930956456404719549728321471663125/13778	39/166	27/166
62336	257634335688074165890261924705025/256	1/16	0
62337	2199736527463108938748966083760875625/13778	59/166	17/166
62338	319280558223640291711451710544328125/3698	35/86	3/86
62339	7655303037125294539577217502178085625/13778	47/166	1/166
62340	1334643867067423916296525251302115625/4096	1/2	13/64
62341	6353553726530502467757165998273798125/13778	29/166	19/166
62342	7234620750501493984735873386179125625/13778	1/2	13/166
62343	8811036166953181389970149299120880625/13778	73/166	67/166
62344	76889506239549780390200762846003125/1024	5/16	9/32
62345	16238518850090805075140856898087870625/13778	75/166	37/166
62346	332323437198878285613062613805953125/3698	1/2	39/86
62347	8108903394004528959572332579895050625/13778	79/166	37/166
62348	1757935480035322605716716109888453125/3698	19/86	11/86
62349	3495012858355091867149372508716518125/13778	71/166	69/166
62350	363438454121431733418253018908640625/3698	1/2	39/86
62351	3820991146240081283879594815320900625/13778	67/166	9/166
62352	159496707865508344851008413315625/144	5/12	1/3
62353	2869707043441720798266417682875863125/13778	41/166	35/166
62354	3763001064746536610956353148362513125/13778	63/166	21/166
62355	141462844568817116441218153849390625/3698	9/86	5/86
62356	335289724281430854703685249107953125/3698	1/2	15/86
62357	7234620750501493984735873386179125625/13778	43/166	35/166
62358	3495012858355091867149372508716518125/13778	81/166	81/166
62359	9920029025152748625669706354084808125/13778	69/166	7/166
62360	1078703910155942748707850014588265625/3698	1/2	7/86
62361	4691473478925745612730095806959035625/13778	41/166	5/166
62362	289751720468852750281490858702078125/3698	23/86	15/86
62363	4691473478925745612730095806959035625/13778	71/166	63/166
62364	5002940597858575196977737022358805625/13778	81/166	45/166
62365	5002940597858575196977737022358805625/13778	77/166	1/166
62366	7234620750501493984735873386179125625/13778	65/166	29/166
62367	6120348650172165596302713819230823125/13778	59/166	7/166
62368	84237392135118050637633492854590625/882	1/2	13/42
62369	188356605199364226863721409269078125/3698	37/86	19/86
62370	21403004327035272968402822265625/4	1/2	0
62371	7175069394556524560045110645995938125/13778	57/166	43/166
62372	146296835500596138329275719653753125/1024	5/16	1/32
62373	3803964271248359656510643006724608125/13778	81/166	67/166
62374	3820991146240081283879594815320900625/13778	49/166	29/166
